12-08 16: 46: 52: Training starting...
Episode 0: Total Mean reward = -2.0, Mean Reward last 50 = -2.0, Epsilon = 1, best_rewards = -2.0
Episode 10200: Total Mean reward = 12.593667287520832, Mean Reward last 50 = 14.9, Epsilon = 0.01, best_rewards = 26.0
Episode 10250: Total Mean reward = 12.607550482879718, Mean Reward last 50 = 15.44, Epsilon = 0.01, best_rewards = 26.0
Episode 10300: Total Mean reward = 12.629550529074848, Mean Reward last 50 = 17.14, Epsilon = 0.01, best_rewards = 26.0
Episode 10350: Total Mean reward = 12.6427398319003, Mean Reward last 50 = 15.36, Epsilon = 0.01, best_rewards = 26.0
Episode 10400: Total Mean reward = 12.653687145466781, Mean Reward last 50 = 14.92, Epsilon = 0.01, best_rewards = 26.0
Episode 10450: Total Mean reward = 12.671419002966223, Mean Reward last 50 = 16.36, Epsilon = 0.01, best_rewards = 26.0
Episode 10500: Total Mean reward = 12.686315588991524, Mean Reward last 50 = 15.8, Epsilon = 0.01, best_rewards = 26.0
Episode 10550: Total Mean reward = 12.702397876978486, Mean Reward last 50 = 16.08, Epsilon = 0.01, best_rewards = 26.0
Episode 10600: Total Mean reward = 12.717196490897086, Mean Reward last 50 = 15.84, Epsilon = 0.01, best_rewards = 26.0
Episode 10650: Total Mean reward = 12.736738334428692, Mean Reward last 50 = 16.88, Epsilon = 0.01, best_rewards = 26.0
Episode 10700: Total Mean reward = 12.750864405195776, Mean Reward last 50 = 15.76, Epsilon = 0.01, best_rewards = 26.0
